epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,4.29091,3.53446,4.68116,3.49954,0.00595,0.83333,0.01243,0.00412,3.56171,3.96749,3.12022,0,0,0,0,0,0,0,0
2,9.45661,3.30645,4.18797,3.62385,0.00594,0.83333,0.01252,0.00372,3.55347,3.95849,3.10239,4.90198e-05,1.63399e-05,4.90198e-05,1.63399e-05,4.90198e-05,1.63399e-05,4.90198e-05,1.63399e-05
